"ensembl"	"symbol"	"MOCK_DMSO_8"	"MOCK_DMSO_8.1"	"MOCK_DMSO_8.2"	"UVC_DMSO_8"	"UVC_DMSO_8.1"	"UVC_DMSO_8.2"	"MOCK_TPA_8"	"MOCK_TPA_8.1"	"MOCK_TPA_8.2"	"UVC_TPA_8"	"UVC_TPA_8.1"	"UVC_TPA_8.2"
"ENSG00000181072.11"	CHRM2	100	0	0	0	0	0	0	0	4	0	0	0
"ENSG00000181074.3"	OR52N4	0	0	0	100	0	98	0	0	2	200	116	0
"ENSG00000181085.14"	MAPK15	0	93	50	0	2	100	214	0	102	100	50	0
"ENSG00000181090.18"	EHMT1	99147	89512	66615	39770	46818	53211	103881	86343	43500	28991	29091	26243
"ENSG00000181092.9"	ADIPOQ	0	0	38	12	0	0	100	0	0	0	0	0
"ENSG00000181097.5"	NA	177	132	260	1505	592	911	633	628	192	3779	2991	1501
"ENSG00000181101.7"	NA	2670	2524	2063	1901	2155	1930	2135	2315	1116	2043	1826	1761
"ENSG00000181104.6"	F2R	77138	75195	54763	70141	74825	72856	154074	134156	62579	82498	83214	81396
"ENSG00000181109.3"	NA	0	0	0	0	0	0	0	0	0	0	50	0
"ENSG00000181123.8"	LOC107985579	0	0	0	0	0	50	0	0	0	50	0	70
"ENSG00000181126.13"	LOC554223	1100	152	125	184	9	321	335	216	114	1764	1336	205
"ENSG00000181135.15"	c("ZNF707", "LOC101928160")	21489	19315	13302	41171	38793	65608	24138	19259	9400	58557	47856	35604
"ENSG00000181143.15"	MUC16	100	446	50	50	50	428	400	533	348	475	887	448
"ENSG00000181163.13"	NPM1	1484615	1373480	1094540	696020	798606	644858	2546809	2350656	922779	934636	931672	941374
"ENSG00000181171.5"	FER1L6-AS1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181191.11"	PJA1	15579	15807	10952	14827	17050	16241	20045	20800	9271	18446	16837	17226
"ENSG00000181192.11"	DHTKD1	41431	39815	31074	17515	18400	19543	50382	49131	22657	20369	20467	17951
"ENSG00000181195.10"	PENK	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181201.3"	NA	0	0	50	0	0	50	50	0	0	90	0	0
"ENSG00000181211.1"	HECW1-IT1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181214.7"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181215.13"	C4orf50	0	0	0	0	0	0	0	0	0	0	0	50
"ENSG00000181218.5"	HIST3H2A	247	649	464	100	397	639	400	426	199	597	324	499
"ENSG00000181220.15"	ZNF746	39120	35710	25302	43260	50010	66942	45661	39147	19120	61828	55422	51423
"ENSG00000181222.15"	POLR2A	264503	249478	162649	690174	556333	921380	455452	307395	183724	966607	911058	594938
"ENSG00000181227.3"	NA	11183	9370	7355	11241	10656	12342	18175	13887	6767	12690	10948	9681
"ENSG00000181234.9"	TMEM132C	0	0	0	0	0	70	0	0	0	0	0	0
"ENSG00000181240.13"	SLC25A41	586	620	248	449	221	524	729	364	206	503	571	603
"ENSG00000181260.8"	NA	11380	9207	7615	13941	14613	11525	21033	18938	8640	14336	14305	15184
"ENSG00000181264.8"	TMEM136	17151	20281	9797	11831	10746	11933	30192	22239	13887	16661	15777	13013
"ENSG00000181273.2"	OR5AK2	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181274.6"	FRAT2	24847	21369	17142	14074	17966	19098	36147	33964	13953	22056	21590	21370
"ENSG00000181282.4"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181284.2"	TMEM102	5511	4885	3749	2346	2837	3373	4250	4340	1819	2453	1472	1762
"ENSG00000181291.6"	TMEM132E	0	0	0	0	0	0	0	0	0	0	0	44
"ENSG00000181296.3"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181315.10"	ZNF322	7988	7804	5318	6779	8625	6423	11884	12551	5072	8139	6876	8136
"ENSG00000181322.13"	NME9	215	5	100	429	0	797	251	146	200	300	472	218
"ENSG00000181323.7"	SPEM1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181325.7"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181333.11"	HEPHL1	680	612	703	200	484	249	751	249	295	249	343	474
"ENSG00000181350.11"	LRRC75A	312542	299368	225962	248862	297934	246769	511095	461134	198048	334492	331646	330464
"ENSG00000181355.20"	LOC107983965	50	336	0	60	50	0	1806	1418	943	400	701	248
"ENSG00000181358.3"	CTAGE10P	550	574	300	350	697	929	1183	1624	392	785	227	471
"ENSG00000181359.5"	NA	49514	45381	37624	32682	36146	29102	59317	53653	21820	35755	28970	35853
"ENSG00000181371.3"	OR5M8	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181374.7"	CCL13	0	0	0	0	0	0	26	0	0	0	0	50
"ENSG00000181378.13"	CFAP65	0	0	0	0	0	0	0	0	0	50	100	0
"ENSG00000181381.13"	DDX60L	0	0	0	40	0	0	474	282	275	58	100	324
"ENSG00000181392.14"	SYNE4	1123	1027	466	1027	408	931	771	398	450	1582	1261	580
"ENSG00000181395.6"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181396.12"	OGFOD3	50532	50269	39881	17452	24237	29755	57749	50411	22226	17176	17569	18353
"ENSG00000181404.15"	WASH1	15628	15704	10475	15546	12629	19007	18446	13955	8806	15853	15715	8084
"ENSG00000181408.3"	UTS2R	5795	4068	3251	1210	2323	3742	4029	3892	2427	3839	2536	2346
"ENSG00000181409.11"	AATK	0	0	0	0	0	9	0	0	0	0	0	0
"ENSG00000181418.7"	DDN	36653	36059	27428	9882	12315	15709	50045	45113	18732	21488	21063	17749
"ENSG00000181433.9"	SAGE1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181444.12"	ZNF467	221	477	194	27	0	398	100	0	100	96	179	50
"ENSG00000181449.3"	SOX2	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181450.17"	ZNF678	15960	17475	9878	12172	11938	8030	20306	16975	7695	7006	6787	6840
"ENSG00000181458.10"	TMEM45A	100	150	150	0	50	200	50	200	50	0	0	100
"ENSG00000181467.4"	RAP2B	95036	79821	65431	162991	179129	200909	105304	92170	37603	224427	189949	186833
"ENSG00000181472.4"	ZBTB2	47756	44437	33463	24236	28585	24146	62842	57241	23493	20618	23861	25059
"ENSG00000181481.13"	RNF135	15634	13120	9166	10106	15068	13283	18737	18662	7845	16544	15148	15595
"ENSG00000181499.2"	OR6T1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181511.5"	NA	2306	1672	1398	1715	1996	1607	3536	3888	949	1480	1503	1435
"ENSG00000181513.14"	ACBD4	11396	13888	6879	5681	5112	6440	13561	12543	6057	5532	4442	4757
"ENSG00000181514.6"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181518.3"	OR8D4	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181523.12"	SGSH	9487	8305	6109	6549	7485	7689	9768	6311	4529	7472	7246	5054
"ENSG00000181524.6"	NA	215931	216968	170904	163177	186965	163102	347176	323563	130534	272788	264455	252856
"ENSG00000181541.5"	MAB21L2	0	0	50	50	0	0	0	50	0	76	50	0
"ENSG00000181544.13"	FANCB	10013	7993	6573	11881	9338	8508	18125	15396	8639	10053	9299	8563
"ENSG00000181552.3"	EDDM3B	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181555.19"	SETD2	110607	102465	71894	87377	68341	81477	165666	131986	66633	69049	65018	52522
"ENSG00000181562.3"	EDDM3A	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181577.15"	C6orf223	24742	24823	20012	4514	7112	8189	50967	48731	20548	6981	6514	9515
"ENSG00000181585.3"	TMIE	0	0	0	0	0	0	0	0	0	50	0	0
"ENSG00000181588.16"	MEX3D	61228	51972	42660	30684	46304	74577	52476	43535	20510	52115	40189	42228
"ENSG00000181609.5"	OR52D1	395	221	150	700	427	450	550	165	196	912	837	249
"ENSG00000181610.12"	MRPS23	103797	90254	75674	79748	94063	82166	167461	159960	61974	110463	112141	107006
"ENSG00000181616.8"	OR52H1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181617.5"	FDCSP	0	0	0	50	50	0	50	88	100	0	0	50
"ENSG00000181619.11"	GPR135	2046	2370	1003	1247	831	2018	3633	879	1856	1485	1900	1591
"ENSG00000181625.17"	c("SLX1B", "LOC105369236")	45967	41731	33051	31959	39378	61343	59627	46532	23208	62766	51278	43756
"ENSG00000181626.11"	ANKRD62	0	0	0	0	29	0	36	0	0	0	0	0
"ENSG00000181631.6"	P2RY13	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181634.7"	TNFSF15	1100	849	992	816	1000	1031	4100	3278	1443	2445	2286	2298
"ENSG00000181638.17"	ZFP41	18100	18467	13340	11113	14725	19916	17373	15538	7115	10893	10258	9128
"ENSG00000181649.5"	PHLDA2	50	0	0	0	0	99	0	0	0	387	150	100
"ENSG00000181652.18"	ATG9B	0	0	0	50	0	100	89	89	100	0	100	99
"ENSG00000181656.6"	GPR88	0	100	0	50	0	50	0	0	0	0	37	21
"ENSG00000181666.17"	HKR1	50	150	0	50	50	50	150	100	50	100	175	50
"ENSG00000181690.7"	PLAG1	2608	1861	998	1623	2133	2160	4237	3822	2068	4245	3097	2777
"ENSG00000181693.7"	OR8H1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181698.3"	OR5T1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181704.11"	YIPF6	29428	26264	21337	26893	19493	22175	49528	42153	18872	23409	19197	18298
"ENSG00000181705.2"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181718.5"	OR5T2	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181722.16"	ZBTB20	50	0	150	100	59	82	194	0	0	99	130	150
"ENSG00000181733.2"	OR2Z1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181741.7"	NA	3016	3273	2305	2482	2013	1884	5983	5428	2871	4292	2963	3431
"ENSG00000181744.8"	C3orf58	47771	43523	34139	71842	66685	68771	56289	46526	21690	90404	71997	71984
"ENSG00000181751.9"	C5orf30	23796	24741	16677	12090	13619	10839	46978	39240	17952	14354	11992	14952
"ENSG00000181752.3"	OR8K5	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181754.6"	AMIGO1	0	0	0	0	50	50	0	0	0	50	132	50
"ENSG00000181761.5"	OR8H3	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181767.2"	OR8H2	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181773.6"	GPR3	9845	10263	5947	5951	7385	6226	22668	20566	9577	22456	22580	18775
"ENSG00000181778.4"	TMEM252	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181780.4"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181781.9"	ODF3L2	0	0	0	0	50	0	48	0	0	0	50	0
"ENSG00000181785.1"	OR5AS1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181786.4"	ACTL9	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181788.3"	SIAH2	109389	98607	75595	48066	58219	53381	158209	139980	61497	50292	50300	51698
"ENSG00000181789.14"	COPG1	64674	61567	47860	38953	42751	42839	99066	87618	40209	51582	51947	47639
"ENSG00000181790.10"	ADGRB1	0	0	83	0	50	0	0	0	0	50	0	0
"ENSG00000181798.2"	LINC00471	1128	606	493	1197	1202	376	1930	1500	600	905	483	869
"ENSG00000181800.5"	CELF2-AS1	887	578	249	538	81	428	1232	594	295	347	387	150
"ENSG00000181803.3"	OR6S1	0	0	0	50	0	0	42	0	0	428	50	146
"ENSG00000181804.14"	SLC9A9	4038	4454	3172	832	1337	1100	5039	4333	2062	1330	993	1086
"ENSG00000181817.5"	LSM10	46686	46054	38645	26918	37289	33250	59900	59295	21593	31113	34245	27684
"ENSG00000181819.14"	NA	2283	2073	899	2771	2884	2701	4458	4676	1959	3060	2388	3030
"ENSG00000181826.9"	RELL1	446	293	497	1915	2311	2773	370	200	198	1423	1245	946
"ENSG00000181827.14"	RFX7	48272	44474	32186	51854	38142	50955	72227	55450	32017	43402	35855	33164
"ENSG00000181830.8"	SLC35C1	20485	20915	17124	12044	16243	19808	28406	29272	10781	17901	18799	16427
"ENSG00000181837.6"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181847.11"	TIGIT	0	0	0	0	0	0	0	0	0	0	50	0
"ENSG00000181852.17"	RNF41	41616	43750	30043	29705	35128	33954	79622	74804	30837	33834	36406	34151
"ENSG00000181856.14"	SLC2A4	727	1494	392	400	150	135	959	849	449	145	144	100
"ENSG00000181867.2"	FTMT	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181873.12"	IBA57	21867	21152	15201	26966	32274	34769	26262	22842	9594	33795	30174	27914
"ENSG00000181885.18"	CLDN7	73	275	84	120	134	71	145	159	139	348	452	150
"ENSG00000181894.14"	ZNF329	0	50	0	0	50	100	50	135	50	0	100	0
"ENSG00000181896.11"	ZNF101	24185	25350	18565	28746	28300	25329	31304	27835	11430	26408	24542	24923
"ENSG00000181903.4"	OR4C6	246	280	150	100	50	0	550	293	300	247	152	100
"ENSG00000181904.8"	C5orf24	37047	43893	22802	54146	45103	51958	56142	42254	27613	81514	68256	61500
"ENSG00000181908.5"	LOC100996455	0	149	50	100	300	150	0	50	0	50	50	0
"ENSG00000181915.4"	ADO	87347	85962	59461	89860	95286	97151	148504	129838	56564	139138	124454	125098
"ENSG00000181924.6"	COA4	67223	62347	49160	35137	44352	42802	104883	89203	38292	38220	39908	37533
"ENSG00000181927.2"	OR4P4	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181929.11"	PRKAG1	66967	68561	52281	47160	51171	46991	122418	112206	47651	54939	58351	52343
"ENSG00000181938.13"	GINS3	58619	55029	45005	61349	70326	58891	92270	82753	36423	60672	64885	64572
"ENSG00000181939.2"	OR4C15	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181943.4"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181950.3"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181958.3"	OR4A15	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181961.3"	OR4A16	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181963.5"	OR52K2	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181965.5"	NEUROG1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181977.3"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181982.18"	CCDC149	194	100	139	451	700	579	762	1027	100	1217	961	542
"ENSG00000181984.11"	c("GOLGA8EP", "GOLGA8CP")	425	383	65	401	222	300	759	150	625	376	718	357
"ENSG00000181991.15"	MRPS11	63951	66243	48685	51013	63605	63228	97609	89758	37484	79310	77341	69391
"ENSG00000181995.11"	LINC00301	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000181997.8"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182000.9"	NA	0	36	0	0	35	28	37	0	53	25	50	0
"ENSG00000182004.12"	SNRPE	81843	87559	62604	67513	76827	60210	146853	134878	58641	89987	94146	89487
"ENSG00000182010.10"	RTKN2	50	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182013.17"	PNMAL1	0	0	0	0	0	0	0	0	50	50	0	0
"ENSG00000182021.10"	NA	77	0	100	0	49	26	87	100	0	50	47	50
"ENSG00000182022.17"	CHST15	0	50	100	779	944	634	444	149	211	1637	1852	1550
"ENSG00000182035.11"	ADIG	0	0	0	3	0	0	0	0	0	0	0	0
"ENSG00000182040.8"	USH1G	0	0	50	300	979	1196	100	0	100	98	269	250
"ENSG00000182048.11"	TRPC2	0	0	0	50	100	50	0	0	0	200	191	0
"ENSG00000182050.13"	MGAT4C	0	50	0	35	0	0	0	100	0	91	50	0
"ENSG00000182053.12"	TRIM49B	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182054.9"	IDH2	237950	221052	182936	147707	200987	212342	232890	224776	88530	154376	155941	143948
"ENSG00000182057.4"	OGFRP1	1545	1790	538	895	250	693	1621	1216	779	589	388	634
"ENSG00000182070.4"	OR52A1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182077.10"	PTCHD3	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182083.7"	OR6B2	0	0	0	0	0	0	0	0	0	50	150	0
"ENSG00000182087.12"	TMEM259	270879	239419	156166	128449	137946	237351	267949	183487	111352	195118	179199	135910
"ENSG00000182093.14"	WRB	32660	32001	23912	26795	25611	24458	48479	49547	19212	27397	27536	29176
"ENSG00000182095.14"	TNRC18	159908	159442	117486	136206	173025	249318	208023	174147	81391	216151	184864	154029
"ENSG00000182103.4"	FAM181B	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182107.6"	TMEM30B	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182108.9"	DEXI	25466	25368	18057	13363	22210	22755	28978	26050	11501	23782	22688	20800
"ENSG00000182109.7"	NA	976	459	422	883	1050	946	1149	639	516	2108	2388	1083
"ENSG00000182111.8"	ZNF716	40	0	0	70	114	90	50	70	0	50	0	0
"ENSG00000182117.5"	NOP10	82965	83744	64179	61802	74149	62218	267565	248529	104348	127190	138744	128248
"ENSG00000182118.6"	c("FAM89A", "MIR1182")	0	0	0	46	0	0	0	0	0	130	0	0
"ENSG00000182132.13"	KCNIP1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182134.15"	TDRKH	50	0	0	50	69	0	173	50	13	83	0	151
"ENSG00000182141.10"	ZNF708	11976	9849	7546	17495	16970	14202	19270	17136	8748	14041	12344	11218
"ENSG00000182149.20"	IST1	123581	115777	83541	134127	142729	142137	184757	155905	75805	130888	136256	120818
"ENSG00000182150.15"	ERCC6L2	20112	19779	15322	10193	12111	9741	29503	25318	13797	9668	9303	7609
"ENSG00000182154.7"	MRPL41	100771	97757	77642	43793	69010	75999	99052	99112	40226	81142	67587	70513
"ENSG00000182156.9"	ENPP7	81	0	0	0	0	0	0	0	50	0	0	0
"ENSG00000182158.14"	CREB3L2	29481	27645	19779	8958	7987	7158	51398	44749	21428	8609	9860	10479
"ENSG00000182162.10"	P2RY8	26672	22114	22445	12638	13258	11936	27524	25831	10696	8495	9816	9905
"ENSG00000182162.10_PAR_Y"	P2RY8	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182165.17"	TP53TG1	2857	3625	2883	11511	15678	11994	6265	6289	3401	16317	16332	14754
"ENSG00000182168.14"	UNC5C	50	0	0	0	0	0	0	100	0	0	0	0
"ENSG00000182170.3"	MRGPRG	0	0	20	0	0	0	0	0	0	0	0	0
"ENSG00000182173.12"	TSEN54	84924	74406	57649	48543	58163	70974	79129	71993	35044	51395	47321	41472
"ENSG00000182175.13"	RGMA	36	150	50	0	150	141	50	50	0	37	0	0
"ENSG00000182177.13"	ASB18	0	0	0	40	0	0	0	0	0	44	0	0
"ENSG00000182179.11"	c("UBA7", "MIR5193")	15857	15849	10119	15953	13664	20060	23496	15716	9764	21480	19735	10873
"ENSG00000182180.13"	MRPS16	176254	168298	123587	122762	137100	133051	236144	214268	92306	140422	133029	129306
"ENSG00000182183.14"	FAM159A	0	0	0	50	100	0	200	0	0	97	0	200
"ENSG00000182185.18"	RAD51B	6826	6026	4988	1025	1054	1400	13302	11508	5884	1737	2055	2156
"ENSG00000182187.3"	CRYGB	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182195.7"	LDOC1	0	0	0	0	0	0	0	0	0	27	0	0
"ENSG00000182196.13"	ARL6IP4	170854	168718	128874	116906	158397	168437	223900	197642	88251	182277	168990	147067
"ENSG00000182197.10"	EXT1	8373	8461	6066	1909	1998	1918	13907	11889	5289	2211	2397	2070
"ENSG00000182199.10"	SHMT2	373292	336040	267058	297047	355154	349281	640510	588260	244730	429810	412829	385716
"ENSG00000182208.12"	MOB2	18773	14460	12355	11963	16093	18334	23654	20971	9804	17732	16894	13934
"ENSG00000182218.9"	HHIPL1	0	100	150	100	0	50	0	0	0	0	50	0
"ENSG00000182220.14"	ATP6AP2	70681	61469	51118	103245	106697	92379	117351	105492	46514	125715	117115	116700
"ENSG00000182223.7"	ZAR1	0	0	0	0	0	0	0	0	0	50	0	0
"ENSG00000182224.11"	CYB5D1	18465	14672	12276	16712	14649	15724	28817	26322	13342	22611	19297	18355
"ENSG00000182230.11"	c("FAM153B", "LOC100507387")	50	0	0	0	100	0	50	0	50	0	92	100
"ENSG00000182240.15"	BACE2	150	27	50	400	200	454	100	50	50	337	400	50
"ENSG00000182247.9"	UBE2E2	11834	14201	9957	1304	1232	1018	20723	19316	7834	1866	1907	2525
"ENSG00000182253.14"	SYNM	100	100	200	50	0	50	350	200	100	150	143	0
"ENSG00000182255.6"	KCNA4	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182256.12"	GABRG3	0	100	0	0	50	0	74	0	150	150	50	0
"ENSG00000182257.6"	PRR34	0	0	0	0	0	0	0	0	0	0	17	0
"ENSG00000182261.3"	NLRP10	0	0	0	50	127	0	174	290	29	217	150	300
"ENSG00000182263.13"	FIGN	0	27	0	0	0	0	0	0	0	0	0	0
"ENSG00000182264.8"	IZUMO1	212	150	37	0	50	290	339	150	98	214	350	123
"ENSG00000182271.12"	TMIGD1	33	0	0	0	0	0	200	0	50	0	0	0
"ENSG00000182272.11"	B4GALNT4	0	0	0	0	0	0	23	0	0	0	0	0
"ENSG00000182287.13"	AP1S2	82812	84089	62787	49858	51866	46923	166797	153190	66819	67294	65332	69766
"ENSG00000182307.12"	C8orf33	123500	112166	88330	89305	105378	97801	170621	151425	65970	96186	93669	95393
"ENSG00000182308.6"	DCAF4L1	150	99	50	1650	1382	1723	807	278	550	3092	2774	1988
"ENSG00000182310.13"	SPACA6	0	0	0	109	0	99	0	0	0	0	0	0
"ENSG00000182315.9"	MBD3L3	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182318.5"	ZSCAN22	6267	6513	5739	5747	6825	7667	11341	8242	3745	7191	7472	5203
"ENSG00000182324.6"	KCNJ14	1387	1821	958	3591	2890	4171	2721	2317	1670	13185	9075	7007
"ENSG00000182325.10"	FBXL6	123502	114823	76120	68032	71856	110549	134814	92146	58229	104289	86317	73791
"ENSG00000182326.14"	C1S	556	851	403	1693	812	1586	1451	609	386	2555	2154	1433
"ENSG00000182327.7"	GLTPD2	1354	1223	856	843	2183	2730	696	322	238	2161	1719	985
"ENSG00000182329.11"	KIAA2012	240	49	50	50	0	200	50	199	0	93	50	0
"ENSG00000182330.10"	PRAMEF8	0	0	0	0	0	0	0	0	0	0	0	50
"ENSG00000182333.14"	LIPF	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182334.1"	OR5P3	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182346.17"	DAOA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182347.10"	NA	163	171	333	50	100	150	656	328	375	50	200	97
"ENSG00000182348.6"	ZNF804B	24	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182351.7"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182352.8"	NA	50	0	0	99	0	0	32	50	0	50	0	0
"ENSG00000182359.14"	KBTBD3	5358	7571	4584	3965	4953	4423	5468	6212	2704	4725	4048	4891
"ENSG00000182362.13"	YBEY	11764	11671	8715	6386	6503	8462	18005	16172	8724	10448	10472	8678
"ENSG00000182365.4"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182366.9"	FAM87A	0	172	50	200	122	150	100	50	0	122	236	150
"ENSG00000182372.8"	c("CLN8", "MIR3674")	15651	12916	10356	34205	33831	39035	25244	21885	10628	82297	64557	55927
"ENSG00000182376.2"	LOC339059	64	222	0	66	100	150	0	50	0	50	344	50
"ENSG00000182378.13"	PLCXD1	74991	73057	45097	48015	36516	64171	70429	51916	33688	48794	41955	30428
"ENSG00000182378.13_PAR_Y"	PLCXD1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182379.9"	NXPH4	0	0	0	0	0	0	0	0	50	0	0	0
"ENSG00000182383.8"	NA	6420	6828	4875	5256	5834	5877	10756	11555	4316	7988	8987	7186
"ENSG00000182389.19"	CACNB4	35427	39341	23324	6976	5109	6647	48295	36174	22421	10451	7959	9470
"ENSG00000182393.2"	IFNL1	0	0	0	100	0	0	197	346	200	750	806	493
"ENSG00000182397.14"	DNM1P46	84	50	0	42	0	50	140	24	0	0	77	0
"ENSG00000182400.14"	TRAPPC6B	32974	31985	22642	34975	33583	29947	59363	54836	25026	36004	36159	31682
"ENSG00000182405.5"	PGBD4	9763	8356	5133	7609	5601	6891	15286	11489	6728	13748	10901	8241
"ENSG00000182415.9"	CDY2A	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182446.13"	NPLOC4	222166	209400	161963	120201	135276	157169	256140	225122	101565	113034	106430	95420
"ENSG00000182447.4"	OTOL1	50	0	0	0	0	0	0	50	0	0	0	46
"ENSG00000182450.12"	KCNK4	100	50	0	172	89	4	100	0	0	150	200	52
"ENSG00000182459.4"	TEX19	113023	102329	77217	26896	37116	31357	90610	84579	37138	12094	14361	16271
"ENSG00000182463.15"	TSHZ2	0	28	0	0	0	0	0	0	0	45	100	0
"ENSG00000182472.8"	CAPN12	13227	13001	8361	11889	12537	11971	32543	27352	11146	14523	16454	10566
"ENSG00000182473.21"	EXOC7	129046	123241	87611	85949	88398	110481	172377	146511	71081	100731	96539	83059
"ENSG00000182477.5"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182481.8"	KPNA2	525617	487825	368436	280329	326691	278239	638744	581880	245377	307775	296926	317463
"ENSG00000182484.15"	NA	21491	24018	13726	17401	18336	24523	25471	19653	12029	22495	21272	14427
"ENSG00000182484.15_PAR_Y"	NA	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000182487.12"	NCF1B	6171	4050	5065	2501	3046	4255	3906	3169	1997	1996	2215	2060
"ENSG00000182489.8"	XKRX	0	0	0	0	0	0	0	0	0	0	50	0
"ENSG00000182492.15"	BGN	0	0	0	39	0	76	0	0	0	0	0	0
"ENSG00000182504.10"	CEP97	20237	22572	15648	25976	18613	23771	33195	28167	15930	27943	25832	22582
"ENSG00000182508.13"	LHFPL1	0	446	200	156	150	250	1436	1330	637	435	296	450
"ENSG00000182511.11"	FES	16360	14701	14234	9659	12888	12584	22168	21092	8639	16279	15935	15200
"ENSG00000182512.4"	GLRX5	109508	92893	82369	63256	75989	71894	136384	129500	56512	81333	77698	78796
"ENSG00000182518.13"	FAM104B	6908	5061	4859	3407	3161	5039	9484	8981	4288	5425	4810	5421
"ENSG00000182521.5"	TBPL2	100	123	0	37	26	77	64	143	0	0	22	50
"ENSG00000182531.7"	NA	0	0	0	0	0	0	0	0	0	50	0	0
"ENSG00000182533.6"	CAV3	0	0	0	0	0	150	0	0	0	0	0	0
"ENSG00000182534.13"	MXRA7	847	170	393	300	150	504	490	300	126	679	149	200
"ENSG00000182541.17"	LIMK2	99923	94116	68340	95949	106066	112867	137797	118489	56776	72965	77449	69563
"ENSG00000182544.8"	MFSD5	39194	37468	29251	35142	49372	45170	48544	39687	17346	43641	43251	42346
"ENSG00000182545.6"	RNASE10	67	0	10	50	17	34	100	50	50	60	50	116
"ENSG00000182551.13"	ADI1	103154	95220	77282	82613	92626	87995	175157	158533	69522	121037	112762	104638
"ENSG00000182552.14"	RWDD4	24059	24657	18449	16891	19375	16279	44226	40302	17283	20226	21056	20128
"ENSG00000182557.7"	SPNS3	50	0	0	50	50	50	0	50	0	50	142	0
